DATE,RATE
1948-01-01,3.4
1948-02-01,3.8
1948-03-01,4.0
1948-04-01,3.9
1948-05-01,3.5
1948-06-01,3.6
1948-07-01,3.6
1948-08-01,3.9
1948-09-01,3.8
1948-10-01,3.7
1948-11-01,3.8
1948-12-01,4.0
1949-01-01,4.3
1949-02-01,4.7
1949-03-01,5.0
1949-04-01,5.3
1949-05-01,6.1
1949-06-01,6.2
1949-07-01,6.7
1949-08-01,6.8
1949-09-01,6.6
1949-10-01,7.9
1949-11-01,6.4
1949-12-01,6.6
1950-01-01,6.5
1950-02-01,6.4
1950-03-01,6.3
1950-04-01,5.8
1950-05-01,5.5
1950-06-01,5.4
2014-03-01,6.7
2014-04-01,6.2
2014-05-01,6.2
2014-06-01,6.1
2014-07-01,6.2
2014-08-01,6.2
2014-09-01,6.0
2014-10-01,5.7
2014-11-01,5.8
2014-12-01,5.6
2015-01-01,5.7
2015-02-01,5.5
2015-03-01,5.5
2015-04-01,5.4
2015-05-01,5.5
2015-06-01,5.3
2015-07-01,5.3
2015-08-01,5.1
2015-09-01,5.1
2015-10-01,5.0
2015-11-01,5.0
2015-12-01,5.0
2016-01-01,4.9
2016-02-01,4.9
2016-03-01,5.0
2016-04-01,5.0
2016-05-01,4.7
2016-06-01,4.9
2016-07-01,4.9
2016-08-01,4.9